IUU,id,id_type,list_source
yes,7826233,IMO,ICCAT
yes,7355662,IMO,ICCAT
yes,8994295,IMO,ICCAT
yes,1427,IMO,IATTC
yes,280020064,IMO,IATTC
yes,490810002,IMO,IATTC
yes,280110095,IMO,IATTC
yes,7379345,IMO,combined_iuu_list
yes,7717913,IMO,combined_iuu_list
yes,7306570,IMO,combined_iuu_list
yes,7424891,IMO,combined_iuu_list
yes,7436533,IMO,combined_iuu_list
yes,7036345,IMO,combined_iuu_list
yes,7236634,IMO,combined_iuu_list
yes,9142693,IMO,combined_iuu_list
yes,9130781,IMO,combined_iuu_list
yes,9179359,IMO,combined_iuu_list
yes,7612321,IMO,combined_iuu_list
yes,9037537,IMO,combined_iuu_list
yes,8510271,IMO,combined_iuu_list
yes,7826271,IMO,combined_iuu_list
yes,7351161,IMO,combined_iuu_list
yes,8522030,IMO,combined_iuu_list
yes,7700104,IMO,combined_iuu_list
yes,6622642,IMO,combined_iuu_list
yes,8013883,IMO,combined_iuu_list
yes,7825215,IMO,combined_iuu_list
yes,8977558,IMO,combined_iuu_list
yes,8028424,IMO,combined_iuu_list
yes,8324139,IMO,combined_iuu_list
yes,7913622,IMO,combined_iuu_list
yes,7234014,IMO,combined_iuu_list
yes,9130793,IMO,combined_iuu_list
yes,8422852,IMO,combined_iuu_list
yes,9230660,IMO,combined_iuu_list
yes,8604668,IMO,combined_iuu_list
yes,8608470,IMO,combined_iuu_list
yes,8522119,IMO,combined_iuu_list
yes,7355662,IMO,combined_iuu_list
yes,8133839,IMO,combined_iuu_list
yes,7020126,IMO,combined_iuu_list
yes,6719419,IMO,combined_iuu_list
yes,7818561,IMO,combined_iuu_list
yes,7322926,IMO,combined_iuu_list
yes,8994300,IMO,combined_iuu_list
yes,7332218,IMO,combined_iuu_list
yes,8422838,IMO,combined_iuu_list
yes,6803961,IMO,combined_iuu_list
yes,8522042,IMO,combined_iuu_list
yes,7905443,IMO,combined_iuu_list
yes,7322897,IMO,combined_iuu_list
yes,7388267,IMO,combined_iuu_list
yes,7325746,IMO,combined_iuu_list
yes,9330214,IMO,combined_iuu_list
yes,8949044,IMO,combined_iuu_list
yes,8977601,IMO,combined_iuu_list
yes,8977613,IMO,combined_iuu_list
yes,8882818,IMO,combined_iuu_list
yes,7920182,IMO,combined_iuu_list
